id	title	description	link	image_link	availability	price	brand	gender	size	item_group_id
24848-56-58	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/109880-OAALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109880-OAALTR-0.jpg	in_stock	1949 TJS	EA7	male	size: 56/58	24848
31663-40-42	Футболка	Футболка	https://m.ququ.shop/product/101356-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101356-SCALTR-0.jpg	in_stock	1399 TJS	Liu Jo	female	size: 40/42	31663
31663-42-44	Футболка	Футболка	https://m.ququ.shop/product/101356-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101356-SCALTR-0.jpg	in_stock	1399 TJS	Liu Jo	female	size: 42/44	31663
31663-44-46	Футболка	Футболка	https://m.ququ.shop/product/101356-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101356-SCALTR-0.jpg	in_stock	1399 TJS	Liu Jo	female	size: 44/46	31663
31366-00	Сумка	Сумка	https://m.ququ.shop/product/102567-RCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102567-RCALTR-0.jpg	in_stock	4249 TJS	Tommy Hilfiger	male	size: 00	31366
32507-46-48	Рубашка джинсовая	Рубашка джинсовая	https://m.ququ.shop/product/101288-WCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101288-WCALTR-0.jpg	in_stock	3849 TJS	Diesel	male	size: 46/48	32507
32507-48-50	Рубашка джинсовая	Рубашка джинсовая	https://m.ququ.shop/product/101288-WCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101288-WCALTR-0.jpg	in_stock	3849 TJS	Diesel	male	size: 48/50	32507
32507-50-52	Рубашка джинсовая	Рубашка джинсовая	https://m.ququ.shop/product/101288-WCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101288-WCALTR-0.jpg	in_stock	3849 TJS	Diesel	male	size: 50/52	32507
32507-52-54	Рубашка джинсовая	Рубашка джинсовая	https://m.ququ.shop/product/101288-WCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101288-WCALTR-0.jpg	in_stock	3849 TJS	Diesel	male	size: 52/54	32507
32507-54-56	Рубашка джинсовая	Рубашка джинсовая	https://m.ququ.shop/product/101288-WCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101288-WCALTR-0.jpg	in_stock	3849 TJS	Diesel	male	size: 54/56	32507
19381-40-42	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/106830-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106830-UCALTR-0.jpg	in_stock	2099 TJS	EA7	female	size: 40/42	19381
