id,title,description,gender,availability,inventory,condition,price,sale_price,link,image_link,brand,size,product_type,item_group_id
40260-50-52,Tommy Hilfiger,Футболка,men,in stock,100,new,"1699,00 TJS","1699,00 TJS",https://m.ququ.shop/product/106877-RCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106877-RCALTR-0.jpg,Tommy Hilfiger,size: 50/52,Футболка,40260
40260-52-54,Tommy Hilfiger,Футболка,men,in stock,100,new,"1699,00 TJS","1699,00 TJS",https://m.ququ.shop/product/106877-RCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106877-RCALTR-0.jpg,Tommy Hilfiger,size: 52/54,Футболка,40260
40260-54-56,Tommy Hilfiger,Футболка,men,in stock,100,new,"1699,00 TJS","1699,00 TJS",https://m.ququ.shop/product/106877-RCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106877-RCALTR-0.jpg,Tommy Hilfiger,size: 54/56,Футболка,40260
55583-40-42,Karl Lagerfeld,Брюки,women,in stock,100,new,"3999,00 TJS","3999,00 TJS",https://m.ququ.shop/product/100465-CDALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100465-CDALTR-0.jpg,Karl Lagerfeld,size: 40/42,Брюки,55583
55583-44-46,Karl Lagerfeld,Брюки,women,in stock,100,new,"3999,00 TJS","3999,00 TJS",https://m.ququ.shop/product/100465-CDALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100465-CDALTR-0.jpg,Karl Lagerfeld,size: 44/46,Брюки,55583
55583-46-48,Karl Lagerfeld,Брюки,women,in stock,100,new,"3999,00 TJS","3999,00 TJS",https://m.ququ.shop/product/100465-CDALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100465-CDALTR-0.jpg,Karl Lagerfeld,size: 46/48,Брюки,55583
59207-23-L32,Diesel,Джинсы,women,in stock,100,new,"2799,00 TJS","2799,00 TJS",https://m.ququ.shop/product/103208-ECALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103208-ECALTR-0.jpg,Diesel,size: 23/L32,Джинсы,59207
59207-26-L32,Diesel,Джинсы,women,in stock,100,new,"2799,00 TJS","2799,00 TJS",https://m.ququ.shop/product/103208-ECALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103208-ECALTR-0.jpg,Diesel,size: 26/L32,Джинсы,59207
7094-46-48,EA7,Костюм спортивный,men,in stock,100,new,"3549,00 TJS","3549,00 TJS",https://m.ququ.shop/product/102971-BAALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102971-BAALTR-0.jpg,EA7,size: 46/48,Костюм,7094
7094-48-50,EA7,Костюм спортивный,men,in stock,100,new,"3549,00 TJS","3549,00 TJS",https://m.ququ.shop/product/102971-BAALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102971-BAALTR-0.jpg,EA7,size: 48/50,Костюм,7094
7094-50-52,EA7,Костюм спортивный,men,in stock,100,new,"3549,00 TJS","3549,00 TJS",https://m.ququ.shop/product/102971-BAALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102971-BAALTR-0.jpg,EA7,size: 50/52,Костюм,7094
7094-52-54,EA7,Костюм спортивный,men,in stock,100,new,"3549,00 TJS","3549,00 TJS",https://m.ququ.shop/product/102971-BAALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102971-BAALTR-0.jpg,EA7,size: 52/54,Костюм,7094
7094-54-56,EA7,Костюм спортивный,men,in stock,100,new,"3549,00 TJS","3549,00 TJS",https://m.ququ.shop/product/102971-BAALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102971-BAALTR-0.jpg,EA7,size: 54/56,Костюм,7094
7094-56-58,EA7,Костюм спортивный,men,in stock,100,new,"3549,00 TJS","3549,00 TJS",https://m.ququ.shop/product/102971-BAALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102971-BAALTR-0.jpg,EA7,size: 56/58,Костюм,7094
60286-38,Weekend Max Mara,Кроссовки,women,in stock,100,new,"7699,00 TJS","7699,00 TJS",https://m.ququ.shop/product/104488-RCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/104488-RCALTR-0.jpg,Weekend Max Mara,size: 38,Кроссовки,60286
33191-46-48,Boss,Брюки спортивные,men,in stock,100,new,"2649,00 TJS","2649,00 TJS",https://m.ququ.shop/product/103123-VCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103123-VCALTR-0.jpg,Boss,size: 46/48,Брюки,33191
33191-50-52,Boss,Брюки спортивные,men,in stock,100,new,"2649,00 TJS","2649,00 TJS",https://m.ququ.shop/product/103123-VCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103123-VCALTR-0.jpg,Boss,size: 50/52,Брюки,33191
33191-52-54,Boss,Брюки спортивные,men,in stock,100,new,"2649,00 TJS","2649,00 TJS",https://m.ququ.shop/product/103123-VCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103123-VCALTR-0.jpg,Boss,size: 52/54,Брюки,33191
33191-56-58,Boss,Брюки спортивные,men,in stock,100,new,"2649,00 TJS","2649,00 TJS",https://m.ququ.shop/product/103123-VCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103123-VCALTR-0.jpg,Boss,size: 56/58,Брюки,33191
60327-40-42,Karl Lagerfeld,Брюки спортивные,women,in stock,100,new,"3999,00 TJS","3999,00 TJS",https://m.ququ.shop/product/108676-CDALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108676-CDALTR-0.jpg,Karl Lagerfeld,size: 40/42,Брюки,60327
60327-42-44,Karl Lagerfeld,Брюки спортивные,women,in stock,100,new,"3999,00 TJS","3999,00 TJS",https://m.ququ.shop/product/108676-CDALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108676-CDALTR-0.jpg,Karl Lagerfeld,size: 42/44,Брюки,60327
60327-44-46,Karl Lagerfeld,Брюки спортивные,women,in stock,100,new,"3999,00 TJS","3999,00 TJS",https://m.ququ.shop/product/108676-CDALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108676-CDALTR-0.jpg,Karl Lagerfeld,size: 44/46,Брюки,60327
60327-46-48,Karl Lagerfeld,Брюки спортивные,women,in stock,100,new,"3999,00 TJS","3999,00 TJS",https://m.ququ.shop/product/108676-CDALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108676-CDALTR-0.jpg,Karl Lagerfeld,size: 46/48,Брюки,60327
60327-48-50,Karl Lagerfeld,Брюки спортивные,women,in stock,100,new,"3999,00 TJS","3999,00 TJS",https://m.ququ.shop/product/108676-CDALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108676-CDALTR-0.jpg,Karl Lagerfeld,size: 48/50,Брюки,60327
60064-48,Max&Co,Брюки,women,in stock,100,new,"2099,00 TJS","2099,00 TJS",https://m.ququ.shop/product/107135-OCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107135-OCALTR-0.jpg,Max&Co,size: 48,Брюки,60064
50046-00,Furla,Платок,women,in stock,100,new,"2699,00 TJS","2699,00 TJS",https://m.ququ.shop/product/85BO0W-X200PM,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/85BO0W-X200PM-0.jpg,Furla,size: 00,Платок,50046
60047-54-56,EA7,Брюки спортивные,men,in stock,100,new,"2449,00 TJS","2449,00 TJS",https://m.ququ.shop/product/101785-XCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101785-XCALTR-0.jpg,EA7,size: 54/56,Брюки,60047
45-29-L32,Hugo,Джинсы,men,in stock,100,new,"2799,00 TJS","2799,00 TJS",https://m.ququ.shop/product/100507-SCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100507-SCALTR-0.jpg,Hugo,size: 29/L32,Джинсы,45
45-30-L32,Hugo,Джинсы,men,in stock,100,new,"2799,00 TJS","2799,00 TJS",https://m.ququ.shop/product/100507-SCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100507-SCALTR-0.jpg,Hugo,size: 30/L32,Джинсы,45
45-31-L32,Hugo,Джинсы,men,in stock,100,new,"2799,00 TJS","2799,00 TJS",https://m.ququ.shop/product/100507-SCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100507-SCALTR-0.jpg,Hugo,size: 31/L32,Джинсы,45
45-32-L32,Hugo,Джинсы,men,in stock,100,new,"2799,00 TJS","2799,00 TJS",https://m.ququ.shop/product/100507-SCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100507-SCALTR-0.jpg,Hugo,size: 32/L32,Джинсы,45
45-33-L32,Hugo,Джинсы,men,in stock,100,new,"2799,00 TJS","2799,00 TJS",https://m.ququ.shop/product/100507-SCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100507-SCALTR-0.jpg,Hugo,size: 33/L32,Джинсы,45
45-34-L32,Hugo,Джинсы,men,in stock,100,new,"2799,00 TJS","2799,00 TJS",https://m.ququ.shop/product/100507-SCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100507-SCALTR-0.jpg,Hugo,size: 34/L32,Джинсы,45
45-35-L32,Hugo,Джинсы,men,in stock,100,new,"2799,00 TJS","2799,00 TJS",https://m.ququ.shop/product/100507-SCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100507-SCALTR-0.jpg,Hugo,size: 35/L32,Джинсы,45
45-36-L32,Hugo,Джинсы,men,in stock,100,new,"2799,00 TJS","2799,00 TJS",https://m.ququ.shop/product/100507-SCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100507-SCALTR-0.jpg,Hugo,size: 36/L32,Джинсы,45
58896-46-48,Boss,Футболка,men,in stock,100,new,"1899,00 TJS","1899,00 TJS",https://m.ququ.shop/product/104109-TCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/104109-TCALTR-0.jpg,Boss,size: 46/48,Футболка,58896
58896-48-50,Boss,Футболка,men,in stock,100,new,"1899,00 TJS","1899,00 TJS",https://m.ququ.shop/product/104109-TCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/104109-TCALTR-0.jpg,Boss,size: 48/50,Футболка,58896
58896-50-52,Boss,Футболка,men,in stock,100,new,"1899,00 TJS","1899,00 TJS",https://m.ququ.shop/product/104109-TCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/104109-TCALTR-0.jpg,Boss,size: 50/52,Футболка,58896
58896-52-54,Boss,Футболка,men,in stock,100,new,"1899,00 TJS","1899,00 TJS",https://m.ququ.shop/product/104109-TCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/104109-TCALTR-0.jpg,Boss,size: 52/54,Футболка,58896
